,Species.sitecircrat,Settlers.105.,Wildlife.122.,Riparian.123.,Sedge.180.,Wet.Meadow,Sample.ID,Quad.circ,Sample.event,Count,m2,seeding_success,NSC,Wetland.Indicator,Annual.perennial.biennial,Forbes.grasses.sedge.rush.fern
18,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,North3,Quad,September,6,6,0.000210555,North,FACW,P,F
19,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,South2,Quad,July,10,10,0.000350924,South,FACW,P,F
20,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,South1,Quad,July,3,3,0.000105277,South,FACW,P,F
21,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,South4,Quad,July,5,5,0.000175462,South,FACW,P,F
22,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,North4,Quad,September,1,1,3.51E-05,North,FACW,P,F
23,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,North1,Quad,September,4,4,0.00014037,North,FACW,P,F
24,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,North2,Quad,September,3,3,0.000105277,North,FACW,P,F
25,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,South3,Quad,July,3,3,0.000105277,South,FACW,P,F
26,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,North5,Quad,July,9,9,0.000315832,North,FACW,P,F
27,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,South4,Quad,September,9,9,0.000315832,South,FACW,P,F
28,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,North2,Quad,October,1,1,3.51E-05,North,FACW,P,F
29,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,North2,Quad,October,1,1,0.000401474,North,FACW,P,F
30,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,North3,Quad,July,8,8,0.003211794,North,FACW,P,F
31,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,North4,Quad,July,4,4,0.001605897,North,FACW,P,F
32,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,North3,Quad,September,6,6,0.002408845,North,FACW,P,F
33,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,South2,Quad,July,10,10,0.004014742,South,FACW,P,F
34,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,South1,Quad,July,3,3,0.001204423,South,FACW,P,F
35,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,South4,Quad,July,5,5,0.002007371,South,FACW,P,F
36,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,North4,Quad,September,1,1,0.000401474,North,FACW,P,F
37,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,North1,Quad,September,4,4,0.001605897,North,FACW,P,F
38,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,North2,Quad,September,3,3,0.001204423,North,FACW,P,F
39,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,South3,Quad,July,3,3,0.001204423,South,FACW,P,F
40,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,North5,Quad,July,9,9,0.003613268,North,FACW,P,F
41,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,North3,Quad,October,1,1,3.51E-05,North,FACW,P,F
42,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,North3,Quad,October,1,1,0.000401474,North,FACW,P,F
43,blue.vervain,2490.820043,2490.820043,2490.820043,2490.820043,2490.820043,South4,Quad,September,9,9,0.003613268,South,FACW,P,F
44,boneset,15585.41684,10603.77676,10603.77676,11030.77448,10603.77676,South1,Quad,September,3,3,0.000282918,South,FACW,P,F
45,boneset,15585.41684,10603.77676,10603.77676,11030.77448,10603.77676,South1,Quad,October,4,4,0.000377224,South,FACW,P,F
46,boneset,15585.41684,10603.77676,10603.77676,11030.77448,10603.77676,South2,Quad,October,1,1,9.43E-05,South,FACW,P,F
47,boneset,15585.41684,10603.77676,10603.77676,11030.77448,10603.77676,North2,Quad,October,5,5,0.00047153,North,FACW,P,F
48,boneset,15585.41684,10603.77676,10603.77676,11030.77448,10603.77676,South4,Quad,October,3,3,0.000282918,South,FACW,P,F
49,boneset,15585.41684,10603.77676,10603.77676,11030.77448,10603.77676,South2,Quad,September,2,2,0.000188612,South,FACW,P,F
50,butterfly.milkweed,351.1364366,181.6222948,181.6222948,181.6222948,181.6222948,0,0,0,0,0,0,0,FACU,P,F
51,c_horsenettle,0,0,0,0,0,Contr1,Quad,July,2,2,NA,Contr,FAC,P,F
52,c_horsenettle,0,0,0,0,0,Contr2,Quad,September,3,3,NA,Contr,FAC,P,F
53,c_horsenettle,0,0,0,0,0,Contr3,Quad,July,3,3,NA,Contr,FAC,P,F
54,c_horsenettle,0,0,0,0,0,South1,Quad,October,2,2,NA,South,FAC,P,F
55,c_horsenettle,0,0,0,0,0,Contr2,Quad,July,32,32,NA,Contr,FAC,P,F
56,c_horsenettle,0,0,0,0,0,Contr5,Quad,July,2,2,NA,Contr,FAC,P,F
57,c_horsenettle,0,0,0,0,0,Contr4,Quad,September,11,11,NA,Contr,FAC,P,F
58,c_horsenettle,0,0,0,0,0,Contr5,Quad,October,3,3,NA,Contr,FAC,P,F
59,c_horsenettle,0,0,0,0,0,Contr2,Quad,October,1,1,NA,Contr,FAC,P,F
60,c_horsenettle,0,0,0,0,0,Contr1,Quad,September,3,3,NA,Contr,FAC,P,F
61,c_horsenettle,0,0,0,0,0,Contr5,Quad,September,1,1,NA,Contr,FAC,P,F
62,c_horsenettle,0,0,0,0,0,Contr4,Quad,July,1,1,NA,Contr,FAC,P,F
63,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,North5,Quad,October,1,1,0.001686192,North,FACU,P,F
64,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,North2,Quad,September,1,1,0.001686192,North,FACU,P,F
65,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,North3,Quad,September,2,2,0.003372383,North,FACU,P,F
66,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,South1,Quad,October,3,3,0.005058575,South,FACU,P,F
67,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,Contr3,Quad,September,12,12,0.0202343,Contr,FACU,P,F
68,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,Contr2,Quad,September,10,10,0.016861917,Contr,FACU,P,F
69,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,South4,Quad,September,14,14,0.023606683,South,FACU,P,F
70,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,North1,Quad,October,7,7,0.011803342,North,FACU,P,F
71,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,South2,Quad,September,5,5,0.008430958,South,FACU,P,F
72,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,Contr3,Quad,October,34,34,0.057330517,Contr,FACU,P,F
73,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,Contr5,Quad,July,7,7,0.011803342,Contr,FACU,P,F
74,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,South1,Quad,September,2,2,0.003372383,South,FACU,P,F
75,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,North5,Quad,July,5,5,0.008430958,North,FACU,P,F
76,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,North4,Quad,July,19,19,0.032037642,North,FACU,P,F
77,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,North1,Quad,September,2,2,0.003372383,North,FACU,P,F
78,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,South1,Quad,July,3,3,0.005058575,South,FACU,P,F
79,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,Contr1,Quad,September,36,36,0.0607029,Contr,FACU,P,F
80,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,South3,Quad,October,3,3,0.005058575,South,FACU,P,F
81,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,Contr1,Quad,October,35,35,0.059016708,Contr,FACU,P,F
82,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,Contr2,Quad,October,2,2,0.003372383,Contr,FACU,P,F
83,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,North3,Quad,October,15,15,0.025292875,North,FACU,P,F
84,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,Contr5,Quad,September,5,5,0.008430958,Contr,FACU,P,F
85,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,South5,Quad,October,3,3,0.005058575,South,FACU,P,F
86,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,Contr5,Quad,October,5,5,0.008430958,Contr,FACU,P,F
87,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,South5,Quad,September,5,5,0.008430958,South,FACU,P,F
88,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,North5,Quad,October,1,1,0.000839214,North,FACU,P,F
89,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,North2,Quad,September,1,1,0.000839214,North,FACU,P,F
90,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,Contr2,Quad,September,10,10,0.008392145,Contr,FACU,P,F
91,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,North3,Quad,September,2,2,0.001678429,North,FACU,P,F
92,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,South1,Quad,October,3,3,0.002517643,South,FACU,P,F
93,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,Contr3,Quad,September,12,12,0.010070574,Contr,FACU,P,F
94,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,Contr1,Quad,October,35,35,0.029372506,Contr,FACU,P,F
95,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,South4,Quad,September,14,14,0.011749003,South,FACU,P,F
96,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,North1,Quad,October,7,7,0.005874501,North,FACU,P,F
97,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,South2,Quad,September,5,5,0.004196072,South,FACU,P,F
98,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,Contr3,Quad,October,34,34,0.028533292,Contr,FACU,P,F
99,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,Contr5,Quad,July,7,7,0.005874501,Contr,FACU,P,F
100,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,South1,Quad,September,2,2,0.001678429,South,FACU,P,F
101,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,North5,Quad,July,5,5,0.004196072,North,FACU,P,F
102,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,North4,Quad,July,19,19,0.015945075,North,FACU,P,F
103,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,North1,Quad,September,2,2,0.001678429,North,FACU,P,F
104,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,South1,Quad,July,3,3,0.002517643,South,FACU,P,F
105,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,Contr1,Quad,September,36,36,0.030211721,Contr,FACU,P,F
106,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,South3,Quad,October,3,3,0.002517643,South,FACU,P,F
107,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,Contr4,Quad,September,19,19,0.015945075,Contr,FACU,P,F
108,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,Contr2,Quad,October,2,2,0.001678429,Contr,FACU,P,F
109,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,North3,Quad,October,15,15,0.012588217,North,FACU,P,F
110,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,Contr5,Quad,September,5,5,0.004196072,Contr,FACU,P,F
111,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,South5,Quad,October,3,3,0.002517643,South,FACU,P,F
112,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,Contr5,Quad,October,5,5,0.004196072,Contr,FACU,P,F
113,Canada.goldenrod,2069.604582,1191.590517,1191.590517,1567.882259,1191.590517,South5,Quad,September,5,5,0.004196072,South,FACU,P,F
114,Canada.goldenrod,593.0523912,593.0523912,593.0523912,741.315489,593.0523912,Contr4,Quad,September,19,19,0.032037642,Contr,FACU,P,F
115,common.milkweed,150.4870443,108.9733769,202.3791285,77.83812635,77.83812635,North3,Quad,July,2,2,0.025694349,North,FACU,P,F
116,common.sneezeweed,1447.542045,1447.542045,1447.542045,1447.542045,1447.542045,0,0,0,0,0,0,0,FACW,P,F
117,deertongue,13232.48148,7178.404986,7178.404986,8216.24667,7178.404986,North5,Quad,October,7,7,0.000975147,North,FAC,P,G
118,deertongue,13232.48148,7178.404986,7178.404986,8216.24667,7178.404986,South2,Quad,September,3,3,0.00041792,South,FAC,P,G
119,deertongue,13232.48148,7178.404986,7178.404986,8216.24667,7178.404986,South1,Quad,September,5,5,0.000696534,South,FAC,P,G
120,deertongue,13232.48148,7178.404986,7178.404986,8216.24667,7178.404986,South3,Quad,October,3,3,0.00041792,South,FAC,P,G
121,deertongue,13232.48148,7178.404986,7178.404986,8216.24667,7178.404986,South3,Quad,September,1,1,0.000139307,South,FAC,P,G
122,deertongue,13232.48148,7178.404986,7178.404986,8216.24667,7178.404986,North4,Quad,July,15,15,0.002089601,North,FAC,P,G
123,deertongue,13232.48148,7178.404986,7178.404986,8216.24667,7178.404986,South5,Quad,September,4,4,0.000557227,South,FAC,P,G
124,deertongue,13232.48148,7178.404986,7178.404986,8216.24667,7178.404986,South2,Quad,October,22,22,0.003064748,South,FAC,P,G
125,deertongue,13232.48148,7178.404986,7178.404986,8216.24667,7178.404986,South5,Quad,October,1,1,0.000139307,South,FAC,P,G
126,deertongue,13232.48148,7178.404986,7178.404986,8216.24667,7178.404986,South4,Quad,July,8,8,0.001114454,South,FAC,P,G
127,eastern.willowherb,0,0,0,0,0,North3,Quad,September,3,3,NA,North,OBL,P,F
128,eastern.willowherb,0,0,0,0,0,North1,Quad,September,4,4,NA,North,OBL,P,F
129,eastern.willowherb,0,0,0,0,0,North5,Quad,September,2,2,NA,North,OBL,P,F
130,eastern.willowherb,0,0,0,0,0,North2,Quad,September,5,5,NA,North,OBL,P,F
131,eastern.willowherb,0,0,0,0,0,North4,Quad,September,15,15,NA,North,OBL,P,F
132,eastern.willowherb,0,0,0,0,0,North1,Quad,October,8,8,NA,North,OBL,P,F
133,eastern.willowherb,0,0,0,0,0,North4,Quad,October,6,6,NA,North,OBL,P,F
134,evening.primrose,0,0,0,0,0,Contr3,Quad,September,1,1,NA,Contr,FAC,B,F
135,evening.primrose,0,0,0,0,0,Contr1,Quad,September,2,2,NA,Contr,FAC,B,F
136,flat.topped.goldenrod,2266.646239,1220.501821,1220.501821,1369.951024,1220.501821,Contr2,Quad,October,2,2,0.00163867,Contr,FACU,P,F
137,flat.topped.goldenrod,2266.646239,1220.501821,1220.501821,1369.951024,1220.501821,Contr2,Quad,July,23,23,0.018844708,Contr,FACU,P,F
138,flat.topped.goldenrod,2266.646239,1220.501821,1220.501821,1369.951024,1220.501821,Contr3,Quad,July,29,29,0.023760718,Contr,FACU,P,F
139,flat.topped.goldenrod,2266.646239,1220.501821,1220.501821,1369.951024,1220.501821,Contr4,Quad,October,2,2,0.00163867,Contr,FACU,P,F
140,flat.topped.goldenrod,2266.646239,1220.501821,1220.501821,1369.951024,1220.501821,Contr1,Quad,July,5,5,0.004096676,Contr,FACU,P,F
141,flat.topped.goldenrod,2266.646239,1220.501821,1220.501821,1369.951024,1220.501821,Contr4,Quad,July,48,48,0.039328086,Contr,FACU,P,F
142,fowl.mannagrass,2283.251706,2283.251706,2283.251706,2283.251706,2283.251706,0,0,0,0,0,0,0,FACW,P,G
143,golden.alexanders,2409.868392,1636.330389,1636.330389,1891.342918,1636.330389,0,0,0,0,0,0,0,FACW,P,F
144,great.blue.lobelia,15148.53491,12463.98442,12463.98442,12463.98442,12463.98442,0,0,0,0,0,0,0,OBL,P,F
145,indiangrass,15424.92204,10936.25675,19809.80316,7978.407951,7978.407951,North5,Quad,September,6,6,0.00075203,North,UPL,P,G
146,indiangrass,15424.92204,10936.25675,19809.80316,7978.407951,7978.407951,South2,Quad,October,3,3,0.000376015,South,UPL,P,G
147,joe.pye.weed,0,0,0,0,0,South4,Quad,July,1,1,NA,South,FACW,P,F
148,joe.pye.weed,0,0,0,0,0,South3,Quad,July,4,4,NA,South,FACW,P,F
149,joe.pye.weed,0,0,0,0,0,North2,Quad,July,3,3,NA,North,FACW,P,F
150,lanceleaf.coreopsis,5406.413862,3112.783739,3112.783739,4095.768077,3112.783739,0,0,0,0,0,0,0,FACU,P,F
151,little.bluestem,58837.71616,33825.73155,33825.73155,44366.49649,33825.73155,North1,Quad,July,2,2,5.91E-05,North,FACU,P,G
152,little.bluestem,58837.71616,33825.73155,33825.73155,44366.49649,33825.73155,South5,Quad,July,1,1,2.96E-05,South,FACU,P,G
153,little.bluestem,0,7323.010927,29292.04371,0,0,North1,Quad,July,2,2,NA,North,FACU,P,G
154,little.bluestem,0,7323.010927,29292.04371,0,0,South5,Quad,July,1,1,NA,South,FACU,P,G
155,m_rose,0,0,0,0,0,North1,Quad,July,3,3,NA,North,FAC,P,S
156,m_rose,0,0,0,0,0,North5,Quad,October,2,2,NA,North,FAC,P,S
157,mountainmint,21756.12697,12526.25492,12526.25492,16481.91437,12526.25492,South4,Quad,October,4,4,0.000319329,South,FAC,P,F
158,mountainmint,2866.419891,1482.630978,1482.630978,1482.630978,1482.630978,South4,Quad,October,4,4,0.002697907,South,FAC,P,F
159,mugwort,0,0,0,0,0,North5,Quad,July,1,1,NA,North,UPL,P,F
160,new.york.ironweed,148.2630978,148.2630978,148.2630978,370.6577445,148.2630978,0,0,0,0,0,0,0,FACW,P,G
161,partridge.pea,1397.379697,722.7826018,722.7826018,722.7826018,722.7826018,0,0,0,0,0,0,0,FACU,P,F
162,partrudge.pea,0,96.37101358,385.4840543,0,0,0,0,0,0,0,NA,0,NA,NA,NA
163,plains.coreopsis,0,2388.518506,9554.074023,0,0,0,0,0,0,0,NA,0,FACU,A,F
164,pokeweed,0,0,0,0,0,Contr1,Quad,July,7,7,NA,Contr,FACU,P,F
165,pokeweed,0,0,0,0,0,Contr2,Quad,July,21,21,NA,Contr,FACU,P,F
166,pokeweed,0,0,0,0,0,Contr3,Quad,July,2,2,NA,Contr,FACU,P,F
167,pokeweed,0,0,0,0,0,Contr5,Quad,July,5,5,NA,Contr,FACU,P,F
168,pokeweed,0,0,0,0,0,South5,Quad,September,1,1,NA,South,FACU,P,F
169,pokeweed,0,0,0,0,0,Contr3,Quad,September,1,1,NA,Contr,FACU,P,F
170,pokeweed,0,0,0,0,0,Contr4,Quad,October,5,5,NA,Contr,FACU,P,F
171,pokeweed,0,0,0,0,0,Contr2,Quad,September,2,2,NA,Contr,FACU,P,F
172,pokeweed,0,0,0,0,0,Contr3,Quad,October,3,3,NA,Contr,FACU,P,F
173,purple.coneflower,7131.002308,4129.979293,4129.979293,5501.875528,4129.979293,0,0,0,0,0,0,0,FACU,P,G
174,purplestem.aster,864.8680706,864.8680706,864.8680706,864.8680706,864.8680706,South3,Quad,September,3,3,0.003468737,South,FACU,P,F
175,purplestem.aster,864.8680706,864.8680706,864.8680706,864.8680706,864.8680706,South1,Quad,September,4,4,0.004624983,South,FACU,P,F
176,purplestem.aster,864.8680706,864.8680706,864.8680706,864.8680706,864.8680706,North5,Quad,October,5,5,0.005781229,North,FACU,P,F
177,purplestem.aster,434.9050869,434.9050869,434.9050869,1087.262717,434.9050869,South3,Quad,September,3,3,0.006898057,South,FACU,P,F
178,purplestem.aster,434.9050869,434.9050869,434.9050869,1087.262717,434.9050869,South1,Quad,September,4,4,0.009197409,South,FACU,P,F
179,purplestem.aster,434.9050869,434.9050869,434.9050869,1087.262717,434.9050869,North5,Quad,October,5,5,0.011496761,North,FACU,P,F
180,redtop.panicgrass,4569.073306,4569.073306,4569.073306,11422.68327,4569.073306,North1,Quad,October,5,5,0.001094314,North,FACW,P,G
181,redtop.panicgrass,4569.073306,4569.073306,4569.073306,11422.68327,4569.073306,North2,Quad,July,3,3,0.000656588,North,FACW,P,G
182,redtop.panicgrass,4569.073306,4569.073306,4569.073306,11422.68327,4569.073306,South5,Quad,October,4,4,0.000875451,South,FACW,P,G
183,redtop.panicgrass,4569.073306,4569.073306,4569.073306,11422.68327,4569.073306,South5,Quad,July,4,4,0.000875451,South,FACW,P,G
184,river.oats,471.476651,471.476651,471.476651,1178.691628,471.476651,North4,Quad,October,2,2,0.004241992,North,FACW,P,G
185,roundhead.lespedeza,1620.960448,838.4278181,838.4278181,838.4278181,838.4278181,0,0,0,0,0,0,0,FACU,P,F
186,rush,14332.09945,14332.09945,14332.09945,35830.24864,14332.09945,South2,Quad,July,3,3,0.00020932,South,FACW,P,R
187,rush,358670.1789,358670.1789,358670.1789,392295.5081,358670.1789,South2,Quad,July,3,3,8.36E-06,South,FACW,P,R
188,sedge,80764.8399,80764.8399,80764.8399,98071.59131,80764.8399,North2,Quad,October,3,3,3.71E-05,North,FAC,P,S
189,sedge,80764.8399,80764.8399,80764.8399,98071.59131,80764.8399,South3,Quad,September,2,2,2.48E-05,South,FAC,P,S
190,sedge,80764.8399,80764.8399,80764.8399,98071.59131,80764.8399,South2,Quad,July,3,3,3.71E-05,South,FAC,P,S
191,sedge,80764.8399,80764.8399,80764.8399,98071.59131,80764.8399,North5,Quad,September,15,15,0.000185724,North,FAC,P,S
192,sedge,80764.8399,80764.8399,80764.8399,98071.59131,80764.8399,South1,Quad,October,2,2,2.48E-05,South,FAC,P,S
193,sedge,80764.8399,80764.8399,80764.8399,98071.59131,80764.8399,North4,Quad,September,1,1,1.24E-05,North,FAC,P,S
194,sedge,80764.8399,80764.8399,80764.8399,98071.59131,80764.8399,North1,Quad,July,2,2,2.48E-05,North,FAC,P,S
195,sedge,13899.66542,13899.66542,13899.66542,13899.66542,13899.66542,North2,Quad,October,3,3,0.000215833,North,FAC,P,S
196,sedge,13899.66542,13899.66542,13899.66542,13899.66542,13899.66542,South3,Quad,September,2,2,0.000143888,South,FAC,P,S
197,sedge,13899.66542,13899.66542,13899.66542,13899.66542,13899.66542,South2,Quad,July,3,3,0.000215833,South,FAC,P,S
198,sedge,13899.66542,13899.66542,13899.66542,13899.66542,13899.66542,North5,Quad,September,15,15,0.001079163,North,FAC,P,S
199,sedge,13899.66542,13899.66542,13899.66542,13899.66542,13899.66542,South1,Quad,October,2,2,0.000143888,South,FAC,P,S
200,sedge,13899.66542,13899.66542,13899.66542,13899.66542,13899.66542,North4,Quad,September,1,1,7.19E-05,North,FAC,P,S
201,sedge,13899.66542,13899.66542,13899.66542,13899.66542,13899.66542,North1,Quad,July,2,2,0.000143888,North,FAC,P,S
202,sedge,889.5785869,889.5785869,889.5785869,889.5785869,889.5785869,North2,Quad,October,3,3,0.003372383,North,FAC,P,S
203,sedge,889.5785869,889.5785869,889.5785869,889.5785869,889.5785869,South3,Quad,September,2,2,0.002248256,South,FAC,P,S
204,sedge,889.5785869,889.5785869,889.5785869,889.5785869,889.5785869,South2,Quad,July,3,3,0.003372383,South,FAC,P,S
205,sedge,889.5785869,889.5785869,889.5785869,889.5785869,889.5785869,North5,Quad,September,15,15,0.016861917,North,FAC,P,S
206,sedge,889.5785869,889.5785869,889.5785869,889.5785869,889.5785869,South1,Quad,October,2,2,0.002248256,South,FAC,P,S
207,sedge,889.5785869,889.5785869,889.5785869,889.5785869,889.5785869,North4,Quad,September,1,1,0.001124128,North,FAC,P,S
208,sedge,889.5785869,889.5785869,889.5785869,889.5785869,889.5785869,North1,Quad,July,2,2,0.002248256,North,FAC,P,S
209,sedge,67750.30517,67750.30517,67750.30517,69742.96121,67750.30517,North2,Quad,October,3,3,4.43E-05,North,FAC,P,S
210,sedge,67750.30517,67750.30517,67750.30517,69742.96121,67750.30517,South3,Quad,September,2,2,2.95E-05,South,FAC,P,S
211,sedge,67750.30517,67750.30517,67750.30517,69742.96121,67750.30517,South2,Quad,July,3,3,4.43E-05,South,FAC,P,S
